Comment,Compound,Positive,Negative,Neutral
Now collab with Troye Sivan for maximum impact.,0.0,0.0,0.0,1.0
Jack had some pretty cringe lines (is he Asian women-fetishizing just because Jungkook happens to be Asian...?) but other than that it was alright,0.5574,0.173,0.0,0.827
"Imo Seven is better but I'm so glad to see a pop boy actually bringing back POP, the production is very Justin Timberlake 2000s coded. Jack Harlows feature was cute as well.

Edit: I retract it's a grower ;) and a sexXXXxy BOP, maybe better than seven.",0.9643,0.329,0.0,0.671
"I like 3D more than Seven, but Seven definitely had the better feature. Thank GOD for the solo version because Jack Harlow's part was trash.",0.9446,0.447,0.0,0.553
"Love that Jack Harlow always drops a Louisville/Kentucky easter egg into his verses. 

Stonybrook is a run-down movie theater in Louisville that now permanently smells of raw sewage, but it was THE PLACE in high school. 

Just tickles me that these random Kentucky references get such a wide audience.",0.3818,0.051,0.0,0.949
This was unexpected. What a throwback! If you would've told me that Nsync would release a song in 2023 that was less Nsync than a Korean popstar on the same day...I would not believe you.,0.0,0.0,0.0,1.0
Main pop boy for real. Catchy and groovy. Another hit like Seven? ☝️,0.3612,0.152,0.0,0.848
"I like the song. The song sounds similar to something. Especially when he says ""so if you're ready and if you'll let me, I wanna see it in motion in 3D"". Like from a 90s group. I swear I have heard that tune before. Does anyone know?

Also does anyone know why he keeps having people featured on the songs first Latto then Jack Harlow? Is this a strategic move so he is on Billboard or?",0.7808,0.099,0.015,0.886
im cracking up at these kpop stans not liking harlow's verse,-0.3089,0.0,0.184,0.816
This is a bop idc. Thank you JK for contributing to the 2000s pop sound revival,0.6289,0.268,0.0,0.732
someone pls come get me because i actually think jack harlow looks cute in the black tshirt? PLEASE HELP ME,0.8679,0.402,0.0,0.598
"I actually like it more than seven on the first listen, I think this is the kind where the more you play it, the more you like it!

I also enjoyed seeing Jungkook have mini dances at some point in the video! I feel like he’s really feeling himself and I love that for him! 

Also I really enjoyed Jack Harlow’s verse, went well with the song! I saw people in the kpop sub being upset but it truly adds to the song 🔥",0.9386,0.244,0.049,0.708
