Comment,Compound,Positive,Negative,Neutral
I love how she’s progressing as an artist like you can see the confidence is brewing in her,0.875,0.4,0.0,0.6
Her aesthetic is so well visualized this era and I am eating it upppp,0.4101,0.174,0.0,0.826
So fucking cool omg,0.4351,0.489,0.0,0.511
I’m gay but I love women so much it makes me want to cry,0.4767,0.324,0.185,0.491
We are so fucking back,0.0,0.0,0.0,1.0
What a pop star,0.0,0.0,0.0,1.0
MUSIC VIDEOS WITH ANIMATION‼️,0.0,0.0,0.0,1.0
Honestly she is everything,0.4588,0.5,0.0,0.5
This warms my Underworld-fan heart (especially since their gig at the Brooklyn Mirage next week is now deeply in question),0.743,0.259,0.0,0.741
waittt the animated segments. made me nostalgic in the best way possible 😫❤️,0.3182,0.199,0.137,0.664
The way she asks is this illegal like she’s so conscientious…pinkpanthress is so kind,0.3851,0.31,0.192,0.497
She *is* the future of music!,0.0,0.0,0.0,1.0
one of the best artist on the pop scene right now. she's so so good,0.8515,0.389,0.0,0.611
She understands her brand and sound so much it’s insane. I feel like she’s really matured this era too,-0.1189,0.111,0.132,0.757
I fucking love this. It makes me feel like a bad bitch in Kingdom Hearts,0.6115,0.395,0.255,0.35
first real candidate for song of the summer,0.0,0.0,0.0,1.0
"# talented, brilliant, incredible, amazing, show stopping, spectacular, never the same, totally unique, completely not ever been done before, unafraid to reference or not reference, put it in a blender, shit on it, vomit on it, eat it, give birth to it.",0.7737,0.209,0.102,0.69
I love her so much,0.6369,0.512,0.0,0.488
This is so fucking good,0.5379,0.465,0.0,0.535
"she's such an icon, this matches the song so well

honestly every song on fancy that needs a video, like it's a 10/10 the entire way",0.8186,0.27,0.0,0.73
It's actually fantastic.,0.5574,0.643,0.0,0.357
I thought that was Eric Andre for a sec,0.0,0.0,0.0,1.0
I just love her so much,0.6369,0.457,0.0,0.543
Fucking goated 😭😭😭,-0.8612,0.0,0.545,0.455
This is dope i like it,0.3612,0.333,0.0,0.667
"She’s so cool, i’m obsessed",0.1604,0.343,0.26,0.397
"Underworld sample, we love to see it",0.6369,0.412,0.0,0.588
all of pinkpantheress music is like cocaine you inhale with your ears and quite frankly im addicted,0.3612,0.135,0.0,0.865
Heaven Knows was such a good album and now this mixtape bangs as well. pinkpantheress is a queen👑🧎🏽‍♂️,0.8074,0.283,0.0,0.717
Yes! You can literally feel her growing into her power,0.5707,0.37,0.0,0.63
Oh god why is this a daily experience,0.2732,0.231,0.0,0.769
my thoughts exactly lol,0.4215,0.483,0.0,0.517
